51;1;фэнтези;джордж рр мартин;меч короля;эксмо;1998;85;1300;нет брака
52;9;фантастика;юрий петухов;звёздные врата;аст;1976;60;950;нет брака
53;3;детектив;шерлок холмс;тень шелка;эксмо;1903;30;800;нет брака
54;1;фэнтези;терри прачетт;благословение;эксмо;1984;90;700;нет брака
55;8;фантастика;артур чарльз кларк;мир будущего;азбука;1971;100;1100;нет брака
56;3;детектив;агата кристи;убийство в поместье;аст;1936;40;900;нет брака
57;10;фэнтези;джон рональд рулел толкин;возвращение короля;эксмо;1955;60;1300;нет брака
58;5;фантастика;айзек азимов;новая империя;азбука;1953;70;950;нет брака
59;3;детектив;дэйв пайк;тайна старого дома;эксмо;2006;50;750;нет брака
60;1;фэнтези;джоан роулинг;гарри поттер и принц-полукровка;аст;2005;100;1100;нет брака
61;2;фантастика;филип киндред дик;мир хаоса;азбука;1965;60;1200;нет брака
62;7;детектив;шерлок холмс;клуб исчезнувших;эксмо;1907;30;800;нет брака
63;1;фэнтези;джордж рр мартин;ветер зимы;эксмо;2012;90;1400;нет брака
64;2;фантастика;юрий петухов;звёздные войны 2;аст;1980;70;950;нет брака
65;3;детектив;агата кристи;тайна старого театра;эксмо;1932;45;900;нет брака
66;10;фэнтези;терри прачетт;магический свет;эксмо;1986;80;700;нет брака
67;2;фантастика;артур чарльз кларк;космическая одиссея 2;азбука;1972;90;1100;нет брака
68;4;детектив;шерлок холмс;пропавший детектив;аст;1906;25;850;нет брака
69;1;фэнтези;джон рональд рулел толкин;силмариллион 2;эксмо;1978;60;1350;нет брака
70;2;фантастика;айзек азимов;роботы 2;азбука;1951;80;950;нет брака
71;3;детектив;дэйв пайк;тайна старого замка 2;эксмо;2007;50;750;нет брака
72;10;фэнтези;джоан роулинг;гарри поттер и дары смерти;аст;2007;120;1150;нет брака
73;2;фантастика;филип киндред дик;мир андроидов;азбука;1969;60;1200;нет брака
74;3;детектив;агата кристи;убийство на вечернем поезде;эксмо;1938;40;900;нет брака
75;1;фэнтези;джордж рр мартин;пламя и кровь;эксмо;2018;90;1500;нет брака
76;6;фантастика;юрий петухов;космическая одиссея;аст;1982;70;950;нет брака
77;3;детектив;шерлок холмс;исчезновение графа 2;эксмо;1905;35;800;нет брака
78;1;фэнтези;терри прачетт;смех сквозь слёзы;эксмо;1987;80;700;нет брака
79;6;фантастика;артур чарльз кларк;тень будущего;азбука;1974;90;1100;нет брака
80;3;детектив;агата кристи;тайна особняка;аст;1939;45;900;нет брака
81;10;фэнтези;джон рональд рулел толкин;хоббит 2;эксмо;1938;60;1200;нет брака
82;2;фантастика;айзек азимов;империя 2;азбука;1952;70;950;нет брака
83;3;детектив;дэйв пайк;убийство в старом доме;эксмо;2008;50;750;нет брака
84;1;фэнтези;джоан роулинг;гарри поттер и проклятое дитя;аст;2016;100;1100;нет брака
85;2;фантастика;филип киндред дик;мечта андроида 2;азбука;1968;60;1200;нет брака
86;3;детектив;шерлок холмс;тайна библиотеки;эксмо;1909;30;800;нет брака
87;1;фэнтези;джордж рр мартин;мир льда и пламени;эксмо;2014;90;1450;нет брака
88;8;фантастика;юрий петухов;звёздные войны 3;аст;1985;70;950;нет брака
89;5;детектив;агата кристи;смерть на яхте;эксмо;1940;40;900;нет брака
90;1;фэнтези;терри прачетт;беспокойство в анк-морпорке;эксмо;1988;80;700;нет брака
91;8;фантастика;артур чарльз кларк;космическая одиссея 3;азбука;1975;90;1100;нет брака
92;3;детектив;шерлок холмс;исчезновение маркизы;аст;1910;25;850;нет брака
93;4;фэнтези;джон рональд рулел толкин;дети хурина 2;эксмо;2008;70;1300;нет брака
94;2;фантастика;айзек азимов;роботы 3;азбука;1953;80;950;нет брака
95;3;детектив;дэйв пайк;тайна старого замка 3;эксмо;2009;50;750;нет брака
96;1;фэнтези;джоан роулинг;гарри поттер и проклятое дитя 2;аст;2017;100;1100;нет брака
97;2;фантастика;филип киндред дик;человек в высоком замке 2;азбука;1963;60;1200;нет брака
98;3;детектив;агата кристи;убийство в поместье 2;эксмо;1941;40;900;нет брака
99;1;фэнтези;джордж рр мартин;ветер зимы 2;эксмо;2013;90;1400;нет брака
100;2;фантастика;юрий петухов;космический патруль 2;аст;1986;70;950;нет брака
